,City,Number of Beds,Number of Homes,Province,Population
0,altona,65.0,1,Manitoba,4212
1,arborg,40.0,1,Manitoba,1222
2,ashern,20.0,1,Manitoba,609
3,baldur,20.0,1,Manitoba,337
4,beausejour,80.0,1,Manitoba,3126
5,benito,20.0,1,Manitoba,377
6,birtle,20.0,1,Manitoba,664
7,boissevain,62.0,2,Manitoba,2353
8,brandon,597.0,5,Manitoba,48859
9,carberry,36.0,1,Manitoba,1738
10,carman,180.0,1,Manitoba,3027
11,dauphin,160.0,2,Manitoba,8457
12,deloraine,46.0,2,Manitoba,977
13,elkhorn,24.0,1,Manitoba,471
14,emerson,20.0,1,Manitoba,661
15,erickson,16.0,1,Manitoba,487
16,eriksdale,20.0,1,Manitoba,846
17,fisher branch,30.0,1,Manitoba,460
18,flin flon,66.0,2,Manitoba,5185
19,fort alexander,30.0,1,Manitoba,0
20,gilbert plains,30.0,1,Manitoba,2011
21,gillam,3.0,1,Manitoba,1265
22,gimli,80.0,1,Manitoba,6181
23,gladstone,50.0,1,Manitoba,879
24,glenboro,20.0,1,Manitoba,645
25,grandview,39.0,1,Manitoba,859
26,griswold,26.0,1,Manitoba,0
27,grunthal,40.0,1,Manitoba,1680
28,hamiota,30.0,1,Manitoba,2011
29,hartney,20.0,1,Manitoba,415
30,killarney,120.0,2,Manitoba,505
31,koostatak,32.0,1,Manitoba,0
32,lac du bonnet,30.0,1,Manitoba,3121
33,lundar,20.0,1,Manitoba,496
34,lynn lake,8.0,1,Manitoba,674
35,macgregor,20.0,1,Manitoba,963
36,manitou,18.0,1,Manitoba,818
37,mccreary,20.0,1,Manitoba,2011
38,melita,20.0,1,Manitoba,1042
39,minnedosa,50.0,1,Manitoba,2449
40,morden,60.0,1,Manitoba,8668
41,morris,40.0,1,Manitoba,3047
42,neepawa,100.0,1,Manitoba,4609
43,nelson house,24.0,1,Manitoba,75
44,niverville,80.0,1,Manitoba,4083
45,norway house,26.0,1,Manitoba,461
46,notre dame de lourdes,60.0,1,Manitoba,683
47,oakbank,40.0,1,Manitoba,0
48,opaskwayak,40.0,1,Manitoba,0
49,oxford house,35.0,1,Manitoba,0
50,pilot mound,54.0,2,Manitoba,635
51,pine falls,20.0,1,Manitoba,0
52,portage la prairie,196.0,2,Manitoba,13304
53,reston,20.0,1,Manitoba,550
54,rivers,20.0,1,Manitoba,1189
55,roblin,60.0,1,Manitoba,932
56,rossburn,20.0,1,Manitoba,2011
57,russell,40.0,1,Manitoba,16520
58,sandy lake,36.0,1,Manitoba,261
59,selkirk,271.0,3,Manitoba,10278
60,shoal lake,40.0,1,Manitoba,714
61,snow lake,3.0,1,Manitoba,723
62,souris,42.0,1,Manitoba,1053
63,st. claude,18.0,1,Manitoba,590
64,st. pierre jolys,22.0,1,Manitoba,0
65,ste. anne,65.0,1,Manitoba,5003
66,ste. rose du lac,65.0,1,Manitoba,1023
67,steinbach,204.0,2,Manitoba,15829
68,stonewall,50.0,1,Manitoba,4809
69,swan river,115.0,2,Manitoba,4014
70,teulon,20.0,1,Manitoba,1201
71,the pas,60.0,1,Manitoba,5689
72,thompson,35.0,1,Manitoba,13678
73,treherne,22.0,1,Manitoba,616
74,virden,96.0,2,Manitoba,3114
75,vita,44.0,1,Manitoba,415
76,wawanesa,20.0,1,Manitoba,562
77,whitemouth,26.0,1,Manitoba,317
78,winkler,145.0,1,Manitoba,12660
79,winnipeg,5640.0,39,Manitoba,705244
80,winnipeosis,20.0,1,Manitoba,0
81,adamsville,6.0,1,New Brunswick,0
82,alcida,6.0,2,New Brunswick,218
83,allarville,15.0,1,New Brunswick,0
84,andersonville,5.0,1,New Brunswick,0
85,apohaqui,9.0,1,New Brunswick,0
86,atholville,39.0,1,New Brunswick,3570
87,avondale,9.0,1,New Brunswick,636
88,baie sainte-anne,20.0,1,New Brunswick,0
89,baker brook,19.0,1,New Brunswick,287
90,balmoral,50.0,2,New Brunswick,1674
91,bas-caraquet,64.0,2,New Brunswick,1380
92,bas-paquetville,11.0,1,New Brunswick,0
93,bathurst,420.0,15,New Brunswick,18154
94,beaverbrook,10.0,1,New Brunswick,0
95,belleisle creek,20.0,1,New Brunswick,0
96,beresford,59.0,3,New Brunswick,6248
97,berwick,10.0,1,New Brunswick,2509
98,blackville,18.0,2,New Brunswick,2215
99,bloomfield,12.0,1,New Brunswick,534
100,bocabec,2.0,1,New Brunswick,0
101,bouctouche,146.0,8,New Brunswick,2423
102,burton,11.0,1,New Brunswick,5119
103,campbellton,220.0,13,New Brunswick,10411
104,cap-pele,60.0,1,New Brunswick,0
105,caraquet,48.0,1,New Brunswick,4248
106,cassilis,4.0,1,New Brunswick,0
107,chamberlain settlement,4.0,1,New Brunswick,0
108,clair,24.0,1,New Brunswick,297
109,cocagne,50.0,2,New Brunswick,2649
110,dalhousie,90.0,3,New Brunswick,3126
111,derby junction,10.0,1,New Brunswick,0
112,dieppe,417.0,9,New Brunswick,107068
113,douglas,10.0,1,New Brunswick,6154
114,drummond,5.0,1,New Brunswick,2250
115,duguayville,1.0,1,New Brunswick,0
116,dundee,8.0,1,New Brunswick,408
117,edmundston,429.0,11,New Brunswick,16580
118,eel river crossing,8.0,1,New Brunswick,1953
119,evangeline,36.0,2,New Brunswick,0
120,fredericton,268.0,15,New Brunswick,58220
121,gagetown,19.0,1,New Brunswick,316
122,grafton,10.0,1,New Brunswick,0
123,grand bay,13.0,1,New Brunswick,0
124,grand sault,3.0,1,New Brunswick,0
125,grand-digue,45.0,1,New Brunswick,0
126,grand-sault,136.0,8,New Brunswick,0
127,hampstead,3.0,1,New Brunswick,7153
128,hampton,38.0,3,New Brunswick,4289
129,hanwell,26.0,2,New Brunswick,4750
130,hartland,15.0,2,New Brunswick,947
131,harvey station,28.0,1,New Brunswick,0
132,haut-riviere-du-portage,18.0,1,New Brunswick,0
133,hillsborough,52.0,2,New Brunswick,1308
134,hopewell hill,9.0,1,New Brunswick,0
135,inkerman,50.0,2,New Brunswick,714
136,intervale,10.0,1,New Brunswick,0
137,jacksonville,8.0,1,New Brunswick,0
138,kedgwick,8.0,1,New Brunswick,1979
139,kingston,6.0,1,New Brunswick,2913
140,lac baker,3.0,1,New Brunswick,719
141,lameque,48.0,1,New Brunswick,1285
142,landry office,20.0,1,New Brunswick,398
143,lansdowne,8.0,1,New Brunswick,723
144,laplante,20.0,2,New Brunswick,312
145,legoulet,25.0,1,New Brunswick,0
146,limestone,3.0,1,New Brunswick,0
147,lower mill stream,16.0,1,New Brunswick,0
148,maisonnette,8.0,1,New Brunswick,573
149,mcleods,8.0,1,New Brunswick,381
150,memramcook,28.0,1,New Brunswick,4778
151,mill cove,22.0,2,New Brunswick,0
152,millcove,9.0,1,New Brunswick,0
153,minto,37.0,2,New Brunswick,8671
154,miramichi,128.0,11,New Brunswick,17537
155,mirmichi,10.0,1,New Brunswick,0
156,moncton,780.0,27,New Brunswick,108620
157,nashwaak village,8.0,1,New Brunswick,0
158,nasonworth,10.0,1,New Brunswick,0
159,neguac,66.0,4,New Brunswick,1684
160,norton,10.0,1,New Brunswick,1382
161,oak bay,14.0,1,New Brunswick,18094
162,old ridge,34.0,1,New Brunswick,0
163,oromocto,24.0,1,New Brunswick,9223
164,paquetville,8.0,1,New Brunswick,2329
165,pennfield,30.0,2,New Brunswick,2218
166,perth-andover,24.0,1,New Brunswick,1778
167,petit paquetville,9.0,1,New Brunswick,0
168,petitcodiac,22.0,1,New Brunswick,1383
169,petit-rocher,50.0,2,New Brunswick,1908
170,picadilly,8.0,1,New Brunswick,0
171,pointe des robichaud,16.0,1,New Brunswick,0
172,pointe-verte,8.0,1,New Brunswick,976
173,pont-landry,9.0,1,New Brunswick,0
174,port elgin,10.0,1,New Brunswick,418
175,quarryville,25.0,1,New Brunswick,0
176,quispamsis,60.0,1,New Brunswick,18245
177,quispmsis,10.0,1,New Brunswick,0
178,red bank,3.0,1,New Brunswick,0
179,richibucto,29.0,2,New Brunswick,1887
180,richibucto road,8.0,1,New Brunswick,0
181,riverview,85.0,4,New Brunswick,19667
182,rivière à la truite,17.0,1,New Brunswick,395
183,riviere verte,15.0,1,New Brunswick,0
184,robertville,30.0,1,New Brunswick,895
185,rogersville,30.0,2,New Brunswick,1166
186,rollingdam,3.0,1,New Brunswick,0
187,sackville,33.0,2,New Brunswick,5331
188,saint john,414.0,34,New Brunswick,67575
189,saint john west,7.0,1,New Brunswick,0
190,saint-andre,15.0,3,New Brunswick,1129
191,saint-antoine,55.0,1,New Brunswick,1733
192,saint-basile,31.0,3,New Brunswick,2463
193,sainte-marie-de-kent,20.0,1,New Brunswick,0
194,sainte-rose,38.0,2,New Brunswick,0
195,saint-irenee,2.0,1,New Brunswick,0
196,saint-jacques,8.0,1,New Brunswick,4021
197,saint-leonard parent,16.0,1,New Brunswick,0
198,saint-louis-de-kent,42.0,1,New Brunswick,0
199,saint-quentin,13.0,2,New Brunswick,2194
200,salisbury,62.0,3,New Brunswick,3388
201,scoudouc,10.0,1,New Brunswick,0
202,shediac,196.0,4,New Brunswick,6664
203,shemogue,12.0,1,New Brunswick,0
204,shippagan,69.0,3,New Brunswick,4800
205,st basile,27.0,1,New Brunswick,0
206,st jacques,21.0,1,New Brunswick,0
207,st. george,8.0,1,New Brunswick,1517
208,st. stephen,16.0,2,New Brunswick,4817
209,ste-anne de madawaska,48.0,2,New Brunswick,0
210,st-isidore,35.0,1,New Brunswick,0
211,st-jacques,15.0,1,New Brunswick,0
212,st-louis-de-kent,20.0,1,New Brunswick,0
213,st-quentin,69.0,3,New Brunswick,0
214,st-simon,14.0,1,New Brunswick,0
215,stymiest,7.0,1,New Brunswick,0
216,sussex,2.0,1,New Brunswick,4282
217,tay creek,12.0,1,New Brunswick,0
218,temperance vale,14.0,2,New Brunswick,0
219,three brooks,19.0,1,New Brunswick,0
220,titusville,18.0,1,New Brunswick,0
221,tracadie,61.0,2,New Brunswick,16114
222,tracadie-sheila,148.0,6,New Brunswick,4933
223,tremblay,10.0,1,New Brunswick,460
224,upper woodstock,9.0,1,New Brunswick,0
225,val-doucet,6.0,1,New Brunswick,0
226,waterville,10.0,1,New Brunswick,2028
227,wickham,13.0,1,New Brunswick,2470
228,woodmans point,9.0,1,New Brunswick,0
229,woodstock,26.0,2,New Brunswick,40902
230,advocate harbour,10.0,2,Nova Scotia,0
231,amherst,133.0,5,Nova Scotia,9550
232,annapolis royal,54.0,1,Nova Scotia,481
233,antgonish,25.0,1,Nova Scotia,0
234,antigonish,137.0,2,Nova Scotia,5002
235,argyle,48.0,1,Nova Scotia,7899
236,arichat,24.0,1,Nova Scotia,0
237,baddeck,59.0,1,Nova Scotia,769
238,barrington,62.0,1,Nova Scotia,6646
239,barss corner,0.0,1,Nova Scotia,0
240,beaverbank,51.0,1,Nova Scotia,0
241,bedford,130.0,1,Nova Scotia,2684
242,berwick,142.0,2,Nova Scotia,2509
243,bible hill,60.0,2,Nova Scotia,0
244,bridgetown,0.0,1,Nova Scotia,1014
245,bridgetown east,0.0,1,Nova Scotia,0
246,bridgetown north,107.0,1,Nova Scotia,0
247,bridgewater,100.0,2,Nova Scotia,8532
248,brookfield,36.0,1,Nova Scotia,529
249,caledonia,44.0,1,Nova Scotia,0
250,canso,15.0,1,Nova Scotia,806
251,chester,90.0,1,Nova Scotia,10310
252,cheticamp,61.0,1,Nova Scotia,0
253,cole harbour,50.0,1,Nova Scotia,0
254,conway,90.0,1,Nova Scotia,0
255,dartmouth,249.0,7,Nova Scotia,0
256,dayton,72.0,1,Nova Scotia,0
257,debert,36.0,1,Nova Scotia,0
258,dominion,0.0,1,Nova Scotia,0
259,dutch brook,0.0,1,Nova Scotia,0
260,eastern passage,177.0,1,Nova Scotia,0
261,enfield,59.0,2,Nova Scotia,33
262,glace bay,221.0,4,Nova Scotia,0
263,greenfield,0.0,1,Nova Scotia,0
264,greenwich,50.0,1,Nova Scotia,1058
265,guysborough,51.0,1,Nova Scotia,403
266,halifax,1220.0,10,Nova Scotia,403131
267,hammonds plains,58.0,1,Nova Scotia,0
268,inverness,71.0,1,Nova Scotia,17235
269,kentville,181.0,3,Nova Scotia,12088
270,liverpool,61.0,1,Nova Scotia,0
271,lockeport,36.0,1,Nova Scotia,588
272,lower west pubnico,0.0,1,Nova Scotia,0
273,lunenburg,144.0,1,Nova Scotia,2263
274,mahone bay,61.0,1,Nova Scotia,1036
275,meteghan,86.0,3,Nova Scotia,0
276,middle musquodoboit,29.0,1,Nova Scotia,0
277,middleton,50.0,1,Nova Scotia,1832
278,millbrook 27,0.0,1,Nova Scotia,847
279,musquodoboit harbour,42.0,1,Nova Scotia,0
280,neil's harbour,19.0,1,Nova Scotia,0
281,new germany,39.0,1,Nova Scotia,447
282,new glasgow,202.0,3,Nova Scotia,20609
283,new waterford,74.0,2,Nova Scotia,0
284,north sydney,177.0,4,Nova Scotia,0
285,overton,0.0,1,Nova Scotia,0
286,parrsboro,14.0,1,Nova Scotia,1205
287,pictou,83.0,2,Nova Scotia,3186
288,pleasnantville,0.0,1,Nova Scotia,0
289,port hawkesbury,60.0,1,Nova Scotia,3214
290,port hood,0.0,1,Nova Scotia,0
291,pugwash,74.0,1,Nova Scotia,744
292,sackville,37.0,1,Nova Scotia,5331
293,sandy point,66.0,1,Nova Scotia,346
294,seabright,0.0,1,Nova Scotia,0
295,sheet harbour,28.0,1,Nova Scotia,0
296,shelburne,0.0,1,Nova Scotia,8126
297,sherbrooke,39.0,1,Nova Scotia,161323
298,shubenacadie,0.0,1,Nova Scotia,0
299,springhill,66.0,1,Nova Scotia,3868
300,st peter's,60.0,1,Nova Scotia,0
301,stellarton,113.0,1,Nova Scotia,4208
302,sydney,505.0,7,Nova Scotia,0
303,sydney mines,45.0,2,Nova Scotia,0
304,tatamagouche,61.0,2,Nova Scotia,752
305,trenton,36.0,1,Nova Scotia,2474
306,truro,256.0,3,Nova Scotia,12826
307,upper nine mile river,0.0,1,Nova Scotia,0
308,wilmot,0.0,1,Nova Scotia,20545
309,windsor,251.0,4,Nova Scotia,276165
310,wolfville,67.0,2,Nova Scotia,4195
311,yarmouth,105.0,1,Nova Scotia,6518
312,ailsa craig,83.0,1,Ontario,0
313,ajax,210.0,2,Ontario,119677
314,akwesasne,50.0,1,Ontario,1202
315,alexandria,70.0,1,Ontario,52
316,alliston,64.0,1,Ontario,0
317,almonte,194.0,2,Ontario,0
318,amherstburg,128.0,1,Ontario,21936
319,amherstview,102.0,1,Ontario,0
320,ancaster,297.0,2,Ontario,0
321,arnprior,60.0,1,Ontario,8795
322,arthur,80.0,1,Ontario,413
323,athens,60.0,1,Ontario,3013
324,atikokan,22.0,1,Ontario,2753
325,aurora,319.0,2,Ontario,55445
326,aylmer,164.0,2,Ontario,7492
327,bancroft,110.0,1,Ontario,3881
328,barrie,1088.0,9,Ontario,172657
329,barry's bay,90.0,1,Ontario,0
330,beamsville,231.0,1,Ontario,0
331,beaverton,149.0,1,Ontario,0
332,beeton,126.0,1,Ontario,0
333,belleville,469.0,3,Ontario,50716
334,blenheim,65.0,1,Ontario,0
335,blind river,32.0,2,Ontario,3472
336,bobcaygeon,161.0,2,Ontario,0
337,bolton,150.0,2,Ontario,0
338,bourget,56.0,1,Ontario,0
339,bowmanville,259.0,2,Ontario,0
340,bracebridge,160.0,1,Ontario,16010
341,bradford,246.0,1,Ontario,0
342,brampton,1601.0,11,Ontario,593638
343,brantford,663.0,5,Ontario,97496
344,brighton,49.0,1,Ontario,11844
345,brockville,331.0,2,Ontario,21854
346,brussels,64.0,1,Ontario,0
347,burlington,1287.0,10,Ontario,183314
348,cambridge,841.0,8,Ontario,129920
349,campbellford,43.0,1,Ontario,0
350,cannifton,56.0,1,Ontario,0
351,cannington,55.0,1,Ontario,0
352,carleton place,60.0,1,Ontario,11901
353,chapleau,18.0,1,Ontario,1964
354,chatham,557.0,3,Ontario,101647
355,chatsworth,34.0,1,Ontario,6630
356,chelmsford,128.0,1,Ontario,0
357,chesley,61.0,2,Ontario,0
358,clarence,113.0,1,Ontario,0
359,clinton,120.0,1,Ontario,636
360,cobden,64.0,1,Ontario,0
361,cobourg,279.0,3,Ontario,19440
362,cochrane,37.0,1,Ontario,25853
363,collingwood,270.0,3,Ontario,21793
364,corbeil,120.0,1,Ontario,0
365,cornwall,518.0,5,Ontario,46589
366,courtland,54.0,1,Ontario,0
367,creemore,95.0,1,Ontario,0
368,deep river,31.0,2,Ontario,4109
369,delaware,105.0,1,Ontario,0
370,delhi,60.0,1,Ontario,0
371,deseronto,60.0,1,Ontario,1774
372,dryden,97.0,1,Ontario,7749
373,dundas,630.0,3,Ontario,3914
374,dunnville,192.0,2,Ontario,0
375,durham,100.0,1,Ontario,1076
376,dutton,57.0,1,Ontario,0
377,east york,377.0,4,Ontario,0
378,elliot lake,64.0,1,Ontario,10741
379,elmira,144.0,2,Ontario,0
380,elmvale,60.0,1,Ontario,0
381,embrun,60.0,1,Ontario,0
382,emo,12.0,1,Ontario,1333
383,englehart,48.0,1,Ontario,1479
384,espanola,62.0,2,Ontario,4996
385,essex,104.0,1,Ontario,20427
386,etobicoke,2303.0,15,Ontario,0
387,exeter,47.0,1,Ontario,0
388,fenelon falls,67.0,1,Ontario,0
389,fergus,263.0,2,Ontario,0
390,fordwich,33.0,1,Ontario,0
391,forest,88.0,1,Ontario,0
392,fort erie,244.0,3,Ontario,30710
393,fort frances,154.0,1,Ontario,7739
394,gananoque,104.0,1,Ontario,5159
395,georgetown,196.0,2,Ontario,169
396,geraldton,19.0,1,Ontario,0
397,glenburnie,128.0,1,Ontario,0
398,gloucester,240.0,1,Ontario,79943
399,goderich,91.0,1,Ontario,7628
400,gore bay,61.0,1,Ontario,850
401,gravenhurst,183.0,1,Ontario,12311
402,grimsby,233.0,3,Ontario,27314
403,guelph,667.0,5,Ontario,131794
