,City,Number of Beds,Number of Homes,Province,Population
825,sainte-agathe,3.0,1,Quebec,611
826,sainte-agathe-des-monts,10.0,2,Quebec,10223
827,sainte-anne de la pérade,1.0,1,Quebec,0
828,sainte-anne-de-bellevue,16.0,1,Quebec,4958
829,sainte-catherine,6.0,4,Quebec,16762
830,sainte-cécile-de-masham,2.0,1,Quebec,0
831,sainte-claire,4.0,1,Quebec,3325
832,sainte-clotolde-de-beauce,1.0,1,Quebec,0
833,sainte-croix,1.0,1,Quebec,2352
834,saint-édouard-de-lotbinièr,1.0,1,Quebec,0
835,sainte-famille-de-l'île-orléans,1.0,1,Quebec,0
836,sainte-georges,1.0,1,Quebec,0
837,sainte-hénédine,9.0,1,Quebec,1212
838,sainte-julie,13.0,2,Quebec,30104
839,sainte-justine,4.0,2,Quebec,1845
840,sainte-luce,1.0,1,Quebec,2851
841,sainte-marie,2.0,1,Quebec,12889
842,sainte-marie-salomé,21.0,2,Quebec,1164
843,sainte-monique,1.0,1,Quebec,212
844,sainte-thècle,3.0,1,Quebec,2478
845,sainte-thérèse,89.0,5,Quebec,26025
846,saint-eustache,68.0,7,Quebec,44154
847,saint-fabien    ,1.0,1,Quebec,0
848,saint-fabien-de-panet,2.0,1,Quebec,992
849,saint-félicien,1.0,1,Quebec,10278
850,saint-félix-de-valois ,1.0,1,Quebec,0
851,saint-gabriel,1.0,1,Quebec,2844
852,saint-georges,20.0,5,Quebec,31173
853,saint-hubert,61.0,3,Quebec,0
854,saint-hyacinthe,149.0,9,Quebec,59614
855,saint-jean-de-dieu,2.0,1,Quebec,1606
856,saint-jean-de-matha,2.0,1,Quebec,4335
857,saint-jean-sur-richelieu,71.0,8,Quebec,92394
858,saint-jerôme,1.0,1,Quebec,0
859,saint-jérôme,106.0,11,Quebec,68456
860,saint-joseph-de-lepage,5.0,1,Quebec,527
861,saint-lambert,123.0,8,Quebec,21861
862,saint-laurent,11.0,1,Quebec,215
863,saint-léonard-d'aston,3.0,1,Quebec,982
864,saint-liboire,2.0,1,Quebec,3051
865,saint-lin,20.0,1,Quebec,0
866,saint-louis-du-haha,3.0,1,Quebec,0
867,saint-ludger,3.0,1,Quebec,1255
868,saint-mathieu,5.0,1,Quebec,1879
869,saint-maurice,5.0,1,Quebec,2775
870,saint-michel-de-squatic,3.0,1,Quebec,0
871,saint-michel-des-saints,1.0,1,Quebec,2436
872,saint-ours,2.0,1,Quebec,1721
873,saint-paul-de-l'île,2.0,1,Quebec,0
874,saint-pierre-les-becquets,1.0,1,Quebec,1223
875,saint-raphaël,9.0,1,Quebec,2463
876,saint-raymond,9.0,1,Quebec,9615
877,saint-rémi,11.0,3,Quebec,7265
878,saint-roch-de-l'achigan,4.0,1,Quebec,4892
879,"saint-romuald, qc",17.0,2,Quebec,0
880,saint-sauveur,23.0,3,Quebec,9881
881,saint-tite,15.0,1,Quebec,3880
882,saint-victor,13.0,1,Quebec,2430
883,salaberry-de-valleyfield,99.0,12,Quebec,42410
884,selkirk,1.0,1,Quebec,10278
885,senneterre,1.0,1,Quebec,2953
886,sept-iles,6.0,1,Quebec,28534
887,sept-îles,3.0,3,Quebec,25686
888,shawinigan,75.0,11,Quebec,50060
889,sherbrooke,132.0,22,Quebec,161323
890,sorel-tracy,44.0,8,Quebec,41629
891,st. jérôme,1.0,1,Quebec,0
892,st. ligori,1.0,1,Quebec,0
893,st. raphaël,3.0,1,Quebec,0
894,st-antoine-sur-richelieu,12.0,1,Quebec,0
895,st-augustin,22.0,1,Quebec,0
896,st-bruno-de-montarville,3.0,2,Quebec,0
897,st-casimir,3.0,1,Quebec,0
898,st-célestin,3.0,1,Quebec,0
899,st-donat,1.0,1,Quebec,0
900,ste-adele,13.0,1,Quebec,0
901,ste-foy,10.0,2,Quebec,0
902,st-elie de caxton,1.0,1,Quebec,0
903,ste-marie,13.0,1,Quebec,0
904,st-gabriel-de-brandon,4.0,1,Quebec,0
905,st-georges,17.0,2,Quebec,0
906,st-hubert,3.0,1,Quebec,0
907,st-hyacinthe,14.0,2,Quebec,0
908,st-jean-de-dieu,5.0,1,Quebec,0
909,st-jean-de-richelieu,2.0,1,Quebec,0
910,st-jean-port-joli,2.0,1,Quebec,0
911,st-jerôme,26.0,2,Quebec,0
912,st-joseph-de-beauce,10.0,2,Quebec,0
913,st-lazare-de-belchasse,1.0,1,Quebec,0
914,st-nazaire-de -dorcheste,1.0,1,Quebec,0
915,st-nicolas,4.0,1,Quebec,0
916,st-prosper,6.0,2,Quebec,0
917,stratford,1.0,1,Quebec,31465
918,st-raymond,12.0,1,Quebec,0
919,st-romuald,1.0,1,Quebec,0
920,st-siméon,2.0,1,Quebec,0
921,st-zacharie,2.0,1,Quebec,0
922,temiscouata-sur-le-lac,1.0,1,Quebec,5096
923,témiscouata-sur-le-lac ,2.0,1,Quebec,0
924,terrebonne,65.0,6,Quebec,111575
925,thetford mines,31.0,12,Quebec,25709
926,tring-jonction,1.0,1,Quebec,1473
927,trois rivières,1.0,1,Quebec,0
928,trois-pistoles,5.0,2,Quebec,3456
929,trois-rivières,182.0,23,Quebec,131338
930,valcourt,5.0,1,Quebec,2349
931,valleyfield,5.0,2,Quebec,0
932,varennes,24.0,2,Quebec,20994
933,vaudreuil-dorion,37.0,4,Quebec,38117
934,vaudreuil-soulanges,3.0,2,Quebec,139353
935,verdun,31.0,2,Quebec,0
936,victoriaville,54.0,8,Quebec,45309
937,victoriaville or trois-rivi,3.0,1,Quebec,0
938,ville-marie,1.0,1,Quebec,2595
939,warwick,9.0,2,Quebec,4766
940,waterloo,9.0,2,Quebec,104986
941,westmount,21.0,2,Quebec,19931
942,windsor,2.0,1,Quebec,276165
943,winnipeg,11.0,1,Quebec,705244
944,badger's quay,45.0,1,Newfoundland,0
945,baie verte,18.0,1,Newfoundland,1313
946,bell island,20.0,1,Newfoundland,0
947,bonavista,12.0,2,Newfoundland,3448
948,botwood,76.0,1,Newfoundland,2875
949,buchans,18.0,1,Newfoundland,696
950,burgeo,18.0,1,Newfoundland,1307
951,"carbonear, nl",228.0,1,Newfoundland,0
952,clarenville,56.0,2,Newfoundland,6291
953,corner brook,395.0,3,Newfoundland,19806
954,fogo island,0.0,1,Newfoundland,2244
955,forteau,13.0,1,Newfoundland,429
956,gander,102.0,1,Newfoundland,11688
957,grand bank,61.0,1,Newfoundland,2310
958,grand falls-windsor,79.0,2,Newfoundland,13725
959,happy valley-goose bay,57.0,1,Newfoundland,7552
960,harbour breton,18.0,1,Newfoundland,1634
961,labrador city,14.0,1,Newfoundland,7220
962,lewisporte,51.0,1,Newfoundland,3409
963,norris point,14.0,1,Newfoundland,685
964,placentia,75.0,1,Newfoundland,3496
965,port aux basques,30.0,1,Newfoundland,0
966,port saunders,22.0,1,Newfoundland,697
967,portugal cove,0.0,1,Newfoundland,0
968,springdale,132.0,1,Newfoundland,2971
969,st lawrence,40.0,1,Newfoundland,0
970,st. anthony,0.0,1,Newfoundland,2258
971,st. john's,1083.0,6,Newfoundland,108860
972,stephenville crossing,114.0,1,Newfoundland,1719
973,twillingate,0.0,1,Newfoundland,2196
974,arborfield,35.0,1,Saskatchewan,326
975,assiniboia,60.0,2,Saskatchewan,2389
976,balcarres,44.0,1,Saskatchewan,617
977,battleford,0.0,3,Saskatchewan,4065
978,bengough h,26.0,1,Saskatchewan,0
979,big river,34.0,1,Saskatchewan,759
980,birch hills,29.0,1,Saskatchewan,1064
981,broadview,35.0,1,Saskatchewan,574
982,cabri,17.0,1,Saskatchewan,399
983,canora,10.0,1,Saskatchewan,2219
984,canwood,29.0,1,Saskatchewan,348
985,carlyle,40.0,1,Saskatchewan,1503
986,carnduff,38.0,1,Saskatchewan,1126
987,carrot river,35.0,1,Saskatchewan,1000
988,central butte,52.0,2,Saskatchewan,365
989,coronach,12.0,1,Saskatchewan,711
990,craik,15.0,1,Saskatchewan,453
991,cudworth,29.0,1,Saskatchewan,770
992,cupar,48.0,1,Saskatchewan,579
993,cut knife,0.0,1,Saskatchewan,517
994,dalmeny,36.0,1,Saskatchewan,1826
995,dinsmore,18.0,1,Saskatchewan,318
996,duck lake,29.0,1,Saskatchewan,577
997,eastend,23.0,1,Saskatchewan,527
998,edam,0.0,1,Saskatchewan,444
999,elrose,30.0,1,Saskatchewan,477
1000,esterhazy,52.0,1,Saskatchewan,2472
1001,estevan,70.0,1,Saskatchewan,11258
1002,eston,31.0,1,Saskatchewan,1061
1003,fillmore,19.0,1,Saskatchewan,255
1004,foam lake,,1,Saskatchewan,1123
1005,fort qu'appelle,50.0,1,Saskatchewan,1919
1006,gainsborough,16.0,1,Saskatchewan,291
1007,goodsoil?,0.0,1,Saskatchewan,0
1008,gravelbourg/ponteix,49.0,1,Saskatchewan,0
1009,grenfell,33.0,1,Saskatchewan,1099
1010,gull lake,33.0,1,Saskatchewan,989
1011,hafford,22.0,1,Saskatchewan,397
1012,herbert,36.0,1,Saskatchewan,759
1013,hudson bay,20.0,1,Saskatchewan,1504
1014,humboldt,85.0,1,Saskatchewan,5869
1015,ile-a la-crosse?,45.0,1,Saskatchewan,0
1016,imperial,18.0,1,Saskatchewan,349
1017,indian head,38.0,1,Saskatchewan,1910
1018,invermay,,1,Saskatchewan,247
1019,ituna,35.0,1,Saskatchewan,711
1020,kamsack,20.0,1,Saskatchewan,1825
1021,kelvington,45.0,1,Saskatchewan,890
1022,kerrobert,30.0,1,Saskatchewan,1061
1023,kindersley,79.0,1,Saskatchewan,4597
1024,kinistino,30.0,1,Saskatchewan,743
1025,kipling,32.0,1,Saskatchewan,1140
1026,kyle,17.0,1,Saskatchewan,437
1027,la loche,,1,Saskatchewan,2827
1028,la ronge,14.0,1,Saskatchewan,5671
1029,lafleche,16.0,1,Saskatchewan,406
1030,lampman,19.0,1,Saskatchewan,713
1031,langham,17.0,1,Saskatchewan,1496
1032,lanigan,35.0,1,Saskatchewan,1233
1033,leader,122.0,2,Saskatchewan,821
1034,leask,29.0,1,Saskatchewan,413
1035,leoville,16.0,1,Saskatchewan,366
1036,leroy,,1,Saskatchewan,427
1037,lestock,10.0,1,Saskatchewan,125
1038,lloydminster,60.0,3,Saskatchewan,31410
1039,loon lake?,0.0,1,Saskatchewan,0
1040,lucky lake?,17.0,1,Saskatchewan,0
1041,lumsden,30.0,1,Saskatchewan,1824
1042,macklin,22.0,1,Saskatchewan,1415
1043,maidstone,0.0,1,Saskatchewan,1156
1044,mankota,15.0,1,Saskatchewan,211
1045,maple creek,45.0,1,Saskatchewan,2084
1046,meadow lake,0.0,1,Saskatchewan,5344
1047,melfort,103.0,1,Saskatchewan,5992
1048,melville,80.0,1,Saskatchewan,4562
1049,midale,15.0,1,Saskatchewan,562
1050,middle lake,36.0,1,Saskatchewan,242
1051,montmartre,,1,Saskatchewan,476
1052,moose jaw,330.0,3,Saskatchewan,33890
1053,moosomin,58.0,1,Saskatchewan,2485
1054,nipawin,95.0,1,Saskatchewan,4401
1055,nokomis,14.0,1,Saskatchewan,397
1056,norquay,30.0,1,Saskatchewan,435
1057,outlook,45.0,1,Saskatchewan,2279
1058,oxbow,12.0,1,Saskatchewan,1328
1059,porcupine plain,38.0,1,Saskatchewan,855
1060,preeceville,38.0,1,Saskatchewan,1070
1061,prince albert?,320.0,3,Saskatchewan,0
1062,radville,25.0,1,Saskatchewan,860
1063,raymore,29.0,1,Saskatchewan,568
1064,redvers,23.0,1,Saskatchewan,975
1065,regina,1319.0,9,Saskatchewan,215106
1066,rockglen,17.0,1,Saskatchewan,400
1067,rosetown,54.0,1,Saskatchewan,2451
1068,rosthern,68.0,1,Saskatchewan,1688
1069,saltcoats,30.0,1,Saskatchewan,474
1070,saskatoon,1833.0,16,Saskatchewan,246376
1071,shaunavon,41.0,1,Saskatchewan,1699
1072,shellbrook,33.0,1,Saskatchewan,1444
1073,spiritwood,43.0,1,Saskatchewan,916
1074,st. brieux,29.0,1,Saskatchewan,590
1075,st. walburg,0.0,1,Saskatchewan,716
1076,stoughton,30.0,1,Saskatchewan,694
1077,strasbourg,38.0,1,Saskatchewan,752
1078,swift current,225.0,1,Saskatchewan,16604
1079,theodore,19.0,1,Saskatchewan,345
1080,tisdale,72.0,1,Saskatchewan,3180
1081,turtleford,0.0,1,Saskatchewan,525
1082,unity,32.0,1,Saskatchewan,2573
1083,wadena,45.0,1,Saskatchewan,1306
1084,wakaw,46.0,1,Saskatchewan,985
1085,warman,31.0,1,Saskatchewan,11020
1086,watrous,43.0,1,Saskatchewan,1900
1087,watson,51.0,1,Saskatchewan,777
1088,wawota,29.0,1,Saskatchewan,560
1089,weyburn,208.0,2,Saskatchewan,10870
1090,whitewood,30.0,1,Saskatchewan,950
1091,wilkie,29.0,1,Saskatchewan,1301
1092,wolseley,78.0,1,Saskatchewan,864
1093,wynard,57.0,1,Saskatchewan,0
1094,wynyard,57.0,1,Saskatchewan,1767
1095,yorkton,,1,Saskatchewan,16343
1096,airdrie,74.0,2,Alberta,61581
1097,alexander reserve,13.0,1,Alberta,0
1098,athabasca,100.0,2,Alberta,2965
1099,banff,47.0,1,Alberta,7847
1100,barrhead,176.0,5,Alberta,4579
1101,bashaw,30.0,2,Alberta,873
1102,bassano,12.0,1,Alberta,1206
1103,beaumont,46.0,1,Alberta,17396
1104,beaverlodge,18.0,1,Alberta,2465
1105,bentley,16.0,1,Alberta,1078
1106,black diamond,45.0,1,Alberta,2700
1107,blackfoot,6.0,1,Alberta,269
1108,blairmore,94.0,2,Alberta,0
1109,bonnyville,133.0,4,Alberta,5975
1110,bow island,50.0,2,Alberta,1983
1111,boyle,20.0,1,Alberta,916
1112,breton,23.0,1,Alberta,496
1113,brooks,161.0,3,Alberta,14451
1114,calgary,8058.0,91,Alberta,1239220
1115,camrose,458.0,9,Alberta,18742
1116,canmore,,2,Alberta,13992
1117,cardston,146.0,3,Alberta,3585
1118,castor,27.0,1,Alberta,932
1119,claresholm,,4,Alberta,3780
1120,coaldale,89.0,2,Alberta,8215
1121,cochrane,,2,Alberta,25853
1122,cold lake,97.0,2,Alberta,14961
1123,consort,20.0,1,Alberta,689
1124,coronation,52.0,1,Alberta,947
1125,crooked creek,15.0,1,Alberta,0
1126,daysland,42.0,2,Alberta,807
1127,desmarais,10.0,1,Alberta,138
1128,devon,24.0,1,Alberta,6578
1129,didsbury,167.0,3,Alberta,5268
1130,drayton valley,114.0,4,Alberta,7235
1131,drumheller,174.0,4,Alberta,7982
1132,eckville,15.0,1,Alberta,1125
1133,edmonton,10293.0,92,Alberta,1062643
1134,edson,108.0,2,Alberta,8414
1135,elk point,52.0,2,Alberta,1452
1136,evansburg,40.0,1,Alberta,880
1137,fairview,92.0,1,Alberta,162
1138,fort macleod,68.0,3,Alberta,2967
1139,fort mcmurray,163.0,3,Alberta,0
1140,fort saskatchewan,121.0,2,Alberta,24149
1141,fort vermilion,34.0,1,Alberta,727
1142,fox creek,4.0,1,Alberta,1971
1143,galahad,20.0,1,Alberta,119
1144,grande cache,27.0,2,Alberta,3571
1145,grande prairie,575.0,7,Alberta,63166
1146,grimshaw,76.0,2,Alberta,2718
1147,hanna,78.0,1,Alberta,2559
1148,hardisty,20.0,1,Alberta,639
1149,high level,45.0,2,Alberta,3159
1150,high prairie,78.0,3,Alberta,2564
1151,high river,185.0,3,Alberta,13584
1152,hinton,75.0,3,Alberta,9882
1153,hythe,31.0,1,Alberta,820
1154,innisfail,208.0,2,Alberta,7847
1155,islay,20.0,1,Alberta,208
1156,jasper,27.0,2,Alberta,4590
1157,killam,50.0,1,Alberta,981
1158,la crete,77.0,3,Alberta,523
1159,lac la biche,64.0,1,Alberta,2520
1160,lacombe,221.0,2,Alberta,13057
1161,lamont,120.0,1,Alberta,1774
1162,leduc,329.0,4,Alberta,29993
1163,lethbridge,1425.0,17,Alberta,92729
1164,linden,37.0,1,Alberta,725
1165,lloydminster,170.0,3,Alberta,31410
1166,lloydminster (sask),39.0,2,Alberta,0
1167,magrath,35.0,2,Alberta,2374
1168,manning,27.0,1,Alberta,1183
1169,mannville,23.0,1,Alberta,803
1170,mayerthorpe,120.0,3,Alberta,1320
1171,mclennan,77.0,2,Alberta,809
1172,medicine hat,964.0,14,Alberta,63260
1173,milk river,34.0,2,Alberta,811
1174,morinville,74.0,1,Alberta,9848
1175,mundare,30.0,1,Alberta,855
1176,myrnam,9.0,1,Alberta,370
1177,nanton,38.0,1,Alberta,2181
1178,nordegg,10.0,1,Alberta,0
1179,okotoks,200.0,4,Alberta,28881
1180,olds,163.0,3,Alberta,9184
1181,onoway,15.0,1,Alberta,1029
1182,oyen,40.0,1,Alberta,1001
1183,peace river,113.0,3,Alberta,6842
1184,picturebutte,35.0,3,Alberta,0
1185,pincher creek,94.0,2,Alberta,3642
1186,ponoka,480.0,4,Alberta,7229
1187,provost,62.0,1,Alberta,1998
1188,radway,30.0,1,Alberta,162
1189,rainbow lake,,1,Alberta,870
1190,raymond,102.0,2,Alberta,3708
1191,red deer,1112.0,12,Alberta,100418
1192,redwater,21.0,1,Alberta,2053
1193,rimbey,107.0,1,Alberta,2567
1194,rocky mtn house,150.0,3,Alberta,0
1195,sherwood,378.0,7,Alberta,0
1196,slave lake,97.0,4,Alberta,6651
1197,smoky lake,63.0,2,Alberta,1022
1198,spirit river,28.0,1,Alberta,1025
1199,spruce,161.0,2,Alberta,0
1200,st paul,146.0,2,Alberta,0
1201,st. albert,826.0,8,Alberta,65589
1202,st. paul,11.0,1,Alberta,5827
1203,stettler,164.0,2,Alberta,5952
1204,stony plain,255.0,3,Alberta,17189
1205,strathmore,188.0,2,Alberta,13756
1206,sundre,63.0,2,Alberta,2729
1207,swan hills,4.0,1,Alberta,1301
1208,sylvan lake,61.0,2,Alberta,14816
1209,taber,154.0,3,Alberta,8428
1210,three hills,60.0,2,Alberta,3212
1211,tofield,66.0,1,Alberta,2081
1212,trochu,28.0,1,Alberta,1058
1213,two hills,83.0,1,Alberta,1352
1214,valleyview,45.0,1,Alberta,1863
1215,various,367.0,4,Alberta,0
1216,vegreville,182.0,5,Alberta,5708
1217,vermilion,113.0,2,Alberta,4084
1218,viking,76.0,2,Alberta,1083
1219,villeneuve,32.0,1,Alberta,136
1220,vilna,12.0,1,Alberta,249
1221,vulcan,69.0,2,Alberta,1917
1222,wainwright,153.0,2,Alberta,6270
1223,westlock,212.0,2,Alberta,5101
1224,wetaskiwin,297.0,5,Alberta,12655
1225,whitecourt,37.0,2,Alberta,1082
